Date;Component;Affiliate Name;Class Name;Result;Is Personal Record;Personal Record Description;Performance Result Type;Comment;From Weightlifting Total
04/20/2018;Power clean + Hang clean;CrossFit Sudurnes;18:30 Ólympískar lyftingar;8 x 2 @ 35 kg;FALSE;;Weight;;FALSE
04/20/2018;Snatch + Hang Snatch;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 1 @ 32.5 kg;FALSE;;Weight;;FALSE
04/20/2018;Muscle Snatch + High Hang Snatch;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 1 @ 30 kg;FALSE;;Weight;;FALSE
04/20/2018;Powerclean + Clean;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 1 @ 45 kg;FALSE;;Weight;;FALSE
04/18/2018;Power Snatch;CrossFit Sudurnes;12:00 Ólympískar lyftingar;1 x 33 @ 25 kg;FALSE;;Weight;;FALSE
04/18/2018;Power Clean;CrossFit Sudurnes;12:00 Ólympískar lyftingar;1 x 38 @ 30 kg;FALSE;;Weight;;FALSE
04/18/2018;Power Snatch + Snatch;CrossFit Sudurnes;12:00 Ólympískar lyftingar;1 x 1 @ 32.5 kg;FALSE;;Weight;;FALSE
04/18/2018;Power Clean + Cluster + Clean & Jerk;CrossFit Sudurnes;12:00 Ólympískar lyftingar;1 x 1 @ 42.5 kg;FALSE;;Weight;;FALSE
04/16/2018;Deadlift;CrossFit Sudurnes;12:00 CrossFit;4 x 6 @ 70 kg;FALSE;;Weight;;FALSE
04/16/2018;Axlarpessa m. eina KB.;CrossFit Sudurnes;12:00 CrossFit;3 x 12 @ 10 kg;FALSE;;Weight;;FALSE
04/13/2018;Back Squat;CrossFit Sudurnes;6:00 CrossFit;1 x 1 @ 75 kg;FALSE;;Weight;80kg en ekki nogu djupt;FALSE
04/12/2018;Power Snatch;CrossFit Sudurnes;12:00 CrossFit;1 x 1 @ 42.5 kg;TRUE;PR by 7.5 kg vs. 35 on 12/22/2017;Weight;;FALSE
04/12/2018;Power Clean;CrossFit Sudurnes;12:00 CrossFit;1 x 1 @ 62.5 kg;TRUE;PR by 17.5 kg vs. 45 on 09/25/2017;Weight;;FALSE
04/09/2018;Shoulder Press;CrossFit Sudurnes;16:30 CrossFit;1 x 1 @ 40 kg;TRUE;PR by 2.5 kg vs. 37.5 on 10/12/2017;Weight;;FALSE
04/09/2018;Deadlift;CrossFit Sudurnes;16:30 CrossFit;1 x 1 @ 105 kg;TRUE;PR by 2.5 kg vs. 102.5 on 12/04/2017;Weight;;FALSE
04/06/2018;Clean Deadlift + Hang Power Clean + Jerk;CrossFit Sudurnes;12:00 CrossFit;1 x 1 @ 52.5 kg;FALSE;;Weight;;FALSE
03/29/2018;Push Press + Power Jerk;CrossFit Sudurnes;11:30 CrossFit;1 x 1 @ 40 kg;FALSE;;Weight;;FALSE
03/27/2018;Bench Press m. handlóð;CrossFit Sudurnes;16:30 CrossFit;4 x 10 @ 12.5 kg;TRUE;PR by 2.5 kg vs. 10 on 12/01/2017;Weight;;FALSE
03/27/2018;Double KB walking lunge;CrossFit Sudurnes;16:30 CrossFit;4 x 20 @ 12 kg;FALSE;;Weight;;FALSE
03/13/2018;Snatch;CrossFit Sudurnes;17:30 CrossFit;1 x 1 @ 40 kg;TRUE;PR by 7.5 kg vs. 32.5 on 11/03/2017;Weight;;FALSE
02/19/2018;Snatch;CrossFit Sudurnes;16:30 CrossFit;1 x 2 @ 30 kg;FALSE;;Weight;;FALSE
02/13/2018;Back Squat;CrossFit Sudurnes;18:30 CrossFit;1 x 8 @ 62.5 kg;TRUE;PR by 12.5 kg vs. 50 on 01/02/2018;Weight;;FALSE
02/09/2018;Deadlift;CrossFit Sudurnes;17:30 CrossFit;1 x 10 @ 75 kg;TRUE;;Weight;;FALSE
02/06/2018;Back Squat;CrossFit Sudurnes;6:00 CrossFit;1 x 12 @ 50 kg;FALSE;;Weight;;FALSE
